pair,trade_number,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,outcome,pnl_R,exit_reason
USDCAD,9,long,2021-09-23T08:00:00+00:00,2021-09-24T12:00:00+00:00,1.26797,1.271641,1.255866,1.276063,win,0.303,Exit at 1.27164 via mean_revert -> WIN (+0.30R)
USDCAD,10,short,2021-11-04T16:00:00+00:00,2021-11-05T16:00:00+00:00,1.24614,1.243735,1.253311,1.241352,win,0.335,Exit at 1.24373 via mean_revert -> WIN (+0.34R)
USDCAD,11,long,2021-12-07T08:00:00+00:00,2021-12-07T12:00:00+00:00,1.27269,1.264295,1.264295,1.278482,loss,-1.0,Exit at 1.26429 via atr_stop -> LOSS (-1.00R)
USDCAD,12,long,2021-12-07T20:00:00+00:00,2021-12-09T08:00:00+00:00,1.26471,1.268743,1.255731,1.276173,win,0.449,Exit at 1.26874 via mean_revert -> WIN (+0.45R)
USDCAD,13,long,2021-12-22T20:00:00+00:00,2021-12-27T08:00:00+00:00,1.28431,1.282328,1.277158,1.289783,loss,-0.277,Exit at 1.28233 via mean_revert -> LOSS (-0.28R)
USDCAD,14,short,2022-01-23T20:00:00+00:00,2022-01-24T12:00:00+00:00,1.25784,1.265943,1.265943,1.252511,loss,-1.0,Exit at 1.26594 via atr_stop -> LOSS (-1.00R)
USDCAD,15,short,2022-01-25T00:00:00+00:00,2022-01-25T20:00:00+00:00,1.26258,1.260008,1.271736,1.256407,win,0.281,Exit at 1.26001 via mean_revert -> WIN (+0.28R)
USDCAD,16,short,2022-04-07T00:00:00+00:00,2022-04-11T08:00:00+00:00,1.25643,1.257888,1.264174,1.251151,loss,-0.188,Exit at 1.25789 via mean_revert -> LOSS (-0.19R)
USDCAD,17,long,2022-05-04T20:00:00+00:00,2022-05-05T12:00:00+00:00,1.27352,1.280348,1.263572,1.282488,win,0.686,Exit at 1.28035 via mean_revert -> WIN (+0.69R)
USDCAD,18,long,2022-05-16T16:00:00+00:00,2022-05-18T16:00:00+00:00,1.28813,1.284966,1.276929,1.295326,loss,-0.282,Exit at 1.28497 via mean_revert -> LOSS (-0.28R)
USDCAD,19,short,2022-06-09T16:00:00+00:00,2022-06-10T08:00:00+00:00,1.26502,1.273066,1.273066,1.258057,loss,-1.0,Exit at 1.27307 via atr_stop -> LOSS (-1.00R)
USDCAD,20,long,2022-06-27T04:00:00+00:00,2022-06-29T04:00:00+00:00,1.28736,1.287725,1.278535,1.293516,win,0.041,Exit at 1.28773 via mean_revert -> WIN (+0.04R)
USDCAD,21,long,2022-07-18T16:00:00+00:00,2022-07-21T08:00:00+00:00,1.29197,1.290026,1.280531,1.300944,loss,-0.17,Exit at 1.29003 via mean_revert -> LOSS (-0.17R)
USDCAD,22,short,2022-08-15T08:00:00+00:00,2022-08-15T08:00:00+00:00,1.28446,1.291544,1.291544,1.279954,loss,-1.0,Exit at 1.29154 via atr_stop -> LOSS (-1.00R)
USDCAD,23,long,2022-08-25T08:00:00+00:00,2022-08-26T00:00:00+00:00,1.29073,1.295596,1.282279,1.297046,win,0.576,Exit at 1.29560 via mean_revert -> WIN (+0.58R)
USDCAD,24,long,2022-09-09T04:00:00+00:00,2022-09-13T12:00:00+00:00,1.30343,1.30071,1.294111,1.311027,loss,-0.292,Exit at 1.30071 via mean_revert -> LOSS (-0.29R)
USDCAD,25,long,2022-10-04T16:00:00+00:00,2022-10-05T12:00:00+00:00,1.35516,1.362851,1.339151,1.366305,win,0.48,Exit at 1.36285 via mean_revert -> WIN (+0.48R)
USDCAD,26,short,2022-11-28T04:00:00+00:00,2022-11-29T08:00:00+00:00,1.34451,1.341247,1.353544,1.338263,win,0.361,Exit at 1.34125 via mean_revert -> WIN (+0.36R)
USDCAD,27,short,2023-01-18T20:00:00+00:00,2023-01-20T00:00:00+00:00,1.34897,1.344859,1.35911,1.341554,win,0.405,Exit at 1.34486 via mean_revert -> WIN (+0.41R)
USDCAD,28,short,2023-02-05T20:00:00+00:00,2023-02-07T16:00:00+00:00,1.34118,1.34103,1.350654,1.333979,win,0.016,Exit at 1.34103 via mean_revert -> WIN (+0.02R)
USDCAD,29,long,2023-03-13T16:00:00+00:00,2023-03-15T08:00:00+00:00,1.36872,1.371821,1.356433,1.376723,win,0.252,Exit at 1.37182 via mean_revert -> WIN (+0.25R)
USDCAD,30,long,2023-03-28T04:00:00+00:00,2023-03-28T08:00:00+00:00,1.36369,1.368895,1.355727,1.368997,win,0.654,Exit at 1.36890 via mean_revert -> WIN (+0.65R)
USDCAD,31,short,2023-04-19T12:00:00+00:00,2023-04-21T04:00:00+00:00,1.34444,1.350797,1.350797,1.339462,loss,-1.0,Exit at 1.35080 via atr_stop -> LOSS (-1.00R)
USDCAD,32,long,2023-04-28T20:00:00+00:00,2023-05-02T08:00:00+00:00,1.35464,1.356566,1.346324,1.360026,win,0.232,Exit at 1.35657 via mean_revert -> WIN (+0.23R)
USDCAD,33,short,2023-05-11T16:00:00+00:00,2023-05-15T12:00:00+00:00,1.34886,1.348579,1.356886,1.340242,win,0.035,Exit at 1.34858 via mean_revert -> WIN (+0.04R)
USDCAD,34,short,2023-06-28T12:00:00+00:00,2023-06-30T12:00:00+00:00,1.32372,1.32403,1.330197,1.318656,loss,-0.048,Exit at 1.32403 via mean_revert -> LOSS (-0.05R)
USDCAD,35,short,2023-07-06T04:00:00+00:00,2023-07-06T12:00:00+00:00,1.32972,1.33541,1.33541,1.326201,loss,-1.0,Exit at 1.33541 via atr_stop -> LOSS (-1.00R)
USDCAD,36,long,2023-08-30T16:00:00+00:00,2023-09-01T12:00:00+00:00,1.35169,1.353368,1.345062,1.357466,win,0.253,Exit at 1.35337 via mean_revert -> WIN (+0.25R)
USDCAD,37,long,2023-09-11T08:00:00+00:00,2023-09-13T12:00:00+00:00,1.3599,1.353731,1.353731,1.363728,loss,-1.0,Exit at 1.35373 via atr_stop -> LOSS (-1.00R)
USDCAD,38,long,2023-10-09T16:00:00+00:00,2023-10-11T12:00:00+00:00,1.36184,1.360927,1.353718,1.368328,loss,-0.112,Exit at 1.36093 via mean_revert -> LOSS (-0.11R)
USDCAD,39,long,2023-11-02T20:00:00+00:00,2023-11-03T16:00:00+00:00,1.3739,1.365946,1.365946,1.382613,loss,-1.0,Exit at 1.36595 via atr_stop -> LOSS (-1.00R)
USDCAD,40,long,2023-11-14T16:00:00+00:00,2023-11-16T12:00:00+00:00,1.37261,1.372565,1.365027,1.3787,loss,-0.006,Exit at 1.37257 via mean_revert -> LOSS (-0.01R)
USDCAD,41,short,2024-01-02T16:00:00+00:00,2024-01-05T12:00:00+00:00,1.33127,1.339665,1.339665,1.324656,loss,-1.0,Exit at 1.33966 via atr_stop -> LOSS (-1.00R)
USDCAD,42,long,2024-03-06T16:00:00+00:00,2024-03-07T20:00:00+00:00,1.35137,1.345339,1.345339,1.355812,loss,-1.0,Exit at 1.34534 via atr_stop -> LOSS (-1.00R)
USDCAD,43,long,2024-03-28T16:00:00+00:00,2024-04-01T08:00:00+00:00,1.35317,1.354726,1.34697,1.356996,win,0.251,Exit at 1.35473 via mean_revert -> WIN (+0.25R)
USDCAD,44,long,2024-04-23T16:00:00+00:00,2024-04-24T12:00:00+00:00,1.36767,1.36981,1.361192,1.371979,win,0.33,Exit at 1.36981 via mean_revert -> WIN (+0.33R)
USDCAD,45,long,2024-05-03T00:00:00+00:00,2024-05-07T00:00:00+00:00,1.36667,1.367384,1.360116,1.370988,win,0.109,Exit at 1.36738 via mean_revert -> WIN (+0.11R)
USDCAD,46,long,2024-06-12T16:00:00+00:00,2024-06-13T04:00:00+00:00,1.36923,1.37411,1.363935,1.374595,win,0.922,Exit at 1.37411 via mean_revert -> WIN (+0.92R)
USDCAD,47,long,2024-08-06T20:00:00+00:00,2024-08-09T12:00:00+00:00,1.3776,1.374606,1.369631,1.383111,loss,-0.376,Exit at 1.37461 via mean_revert -> LOSS (-0.38R)
USDCAD,48,short,2024-09-03T04:00:00+00:00,2024-09-04T12:00:00+00:00,1.35225,1.35237,1.356855,1.34948,loss,-0.026,Exit at 1.35237 via mean_revert -> LOSS (-0.03R)
USDCAD,49,short,2024-09-10T20:00:00+00:00,2024-09-11T08:00:00+00:00,1.36017,1.357676,1.365057,1.3562,win,0.51,Exit at 1.35768 via mean_revert -> WIN (+0.51R)
USDCAD,50,short,2024-09-27T20:00:00+00:00,2024-09-30T12:00:00+00:00,1.35169,1.349737,1.357313,1.347949,win,0.347,Exit at 1.34974 via mean_revert -> WIN (+0.35R)
USDCAD,51,long,2024-11-05T16:00:00+00:00,2024-11-06T00:00:00+00:00,1.38519,1.389367,1.379778,1.390298,win,0.772,Exit at 1.38937 via mean_revert -> WIN (+0.77R)
USDCAD,52,long,2024-11-19T16:00:00+00:00,2024-11-21T20:00:00+00:00,1.39767,1.397394,1.390601,1.403693,loss,-0.039,Exit at 1.39739 via mean_revert -> LOSS (-0.04R)
USDCAD,53,long,2024-11-29T04:00:00+00:00,2024-11-29T12:00:00+00:00,1.39857,1.402149,1.391075,1.403069,win,0.477,Exit at 1.40215 via mean_revert -> WIN (+0.48R)
USDCAD,54,long,2025-01-06T12:00:00+00:00,2025-01-07T20:00:00+00:00,1.43017,1.435949,1.422057,1.438411,win,0.712,Exit at 1.43595 via mean_revert -> WIN (+0.71R)
USDCAD,55,long,2025-01-20T20:00:00+00:00,2025-01-21T00:00:00+00:00,1.43045,1.437322,1.419035,1.437412,win,0.602,Exit at 1.43732 via mean_revert -> WIN (+0.60R)
USDCAD,56,short,2025-02-25T00:00:00+00:00,2025-02-26T12:00:00+00:00,1.42785,1.434875,1.434875,1.422421,loss,-1.0,Exit at 1.43488 via atr_stop -> LOSS (-1.00R)
USDCAD,57,short,2025-05-08T12:00:00+00:00,2025-05-12T04:00:00+00:00,1.38892,1.396883,1.396883,1.382664,loss,-1.0,Exit at 1.39688 via atr_stop -> LOSS (-1.00R)
USDCAD,58,short,2025-05-27T20:00:00+00:00,2025-05-29T12:00:00+00:00,1.38225,1.380257,1.389033,1.378022,win,0.294,Exit at 1.38026 via mean_revert -> WIN (+0.29R)
USDCAD,59,short,2025-06-18T00:00:00+00:00,2025-06-22T20:00:00+00:00,1.36838,1.375802,1.375802,1.360929,loss,-1.0,Exit at 1.37580 via atr_stop -> LOSS (-1.00R)
USDCAD,60,short,2025-07-07T08:00:00+00:00,2025-07-10T00:00:00+00:00,1.36665,1.36748,1.372635,1.361503,loss,-0.139,Exit at 1.36748 via mean_revert -> LOSS (-0.14R)
USDCAD,61,short,2025-07-25T08:00:00+00:00,2025-07-28T04:00:00+00:00,1.36737,1.372782,1.372782,1.363742,loss,-1.0,Exit at 1.37278 via atr_stop -> LOSS (-1.00R)
USDCAD,62,long,2025-08-22T20:00:00+00:00,2025-08-25T16:00:00+00:00,1.38288,1.385913,1.37741,1.386933,win,0.555,Exit at 1.38591 via mean_revert -> WIN (+0.55R)
USDCAD,63,long,2025-08-27T20:00:00+00:00,2025-08-29T12:00:00+00:00,1.37883,1.373458,1.373458,1.382628,loss,-1.0,Exit at 1.37346 via atr_stop -> LOSS (-1.00R)
